Accounting	2
Airlines/Aviation	0
Animation	0
Apparel & Fashion	0
Architecture & Planning	0
Arts and Crafts	0
Auctions	1
Automobiles	0
Automotive	0
Aviation & Aerospace	0
Banking	2
Biotechnology	1
Boats & Submarines	0
Broadcast Media	1
Brokerage	1
Building Materials	0
Business Services	1
Business Supplies and Equipment	0
Car & Truck Rental	2
Chemicals	1
Civic & Social Organization	0
Civil Engineering	1
Computer & Network Security	2
Computer Games	3
Computer Hardware	0
Computer Networking	1
Computer Software	1
Construction	1
Consumer Electronics	0
Consumer Goods	0
Consumer Services	2
Cosmetics	0
Cultural	1
Dairy	0
Defense & Space	2
Design	0
E-Learning	3
Education	3
Education Management	1
Electrical/Electronic Manufacturing	0
Electronics	0
Entertainment	2
Environmental Services	0
Events Services	1
Executive Office	2
Facilities Services	0
Farming	0
Financial Services	2
Fine Art	0
Food & Beverages	0
Food Production	0
Fund-Raising	1
Furniture	0
Glass, Ceramics & Concrete	0
Government Administration	3
Government Relations	0
Graphic Design	0
Health, Wellness and Fitness	1
Higher Education	3
Hospital & Health Care	1
Hospitality	1
Human Resources	2
Import and Export	1
Individual & Family Services	0
Industrial Automation	2
Information Services	2
Information Technology and Services	3
Insurance	1
International Affairs	1
International Trade and Development	1
Internet	3
Investment Banking	0
Investment Management	0
Judiciary	0
Law Enforcement	0
Law Practice	0
Legal Services	1
Legislative Office	1
Leisure, Travel & Tourism	2
Libraries	2
Logistics and Supply Chain	3
Luxury Goods & Jewelry	1
Machinery	1
Management Consulting	0
Manufacturing	0
Maritime	0
Market Research	0
Marketing and Advertising	1
Mechanical or Industrial Engineering	1
Media Production	0
Medical Devices	1
Medical Practice	0
Mental Health Care	1
Military	3
Mining & Metals	0
Motion Pictures and Film	0
Motor Vehicle Dealers	1
Museums and Institutions	0
Music	2
Newspapers	2
Nonprofit Organization Management	1
Office Products	1
Oil & Energy	1
Online Media	3
Outsourcing/Offshoring	1
Package/Freight Delivery	1
Performing Arts	2
Pharmaceuticals	1
Philanthropy	0
Photography	0
Plastics	1
Political Organization	1
Primary/Secondary Education	2
Printing	0
Professional Training & Coaching	2
Program Development	0
Public Relations and Communications	0
Public Safety	1
Publishing	0
Real Estate	1
Religious Institutions	1
Renewables & Environment	2
Research	0
Restaurants	0
Retail	2
Security Products & Services	1
Security and Investigations	1
Semiconductors	0
Shipbuilding	0
Sporting Goods	1
Sports	2
Staffing and Recruiting	1
Supermarkets	1
Telecommunications	0
Test & Measurement Equipment	0
Textiles	0
Think Tanks	1
Tires & Rubber	1
Tobacco	1
Toys & Games	2
Translation and Localization	2
Transportation/Trucking/Railroad	0
Utilities	1
Venture Capital & Private Equity	1
Veterinary	0
Warehousing	1
Wholesale	2
Wine and Spirits	0
Wire & Cable	1
Writing and Editing	1